school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,16,U,GT3,T,4,4,health,teacher,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,2,2,4,13,13,13
GP,M,16,U,GT3,A,3,2,services,other,home,mother,1,2,3,no,yes,no,no,yes,yes,yes,no,4,5,5,3,5,4,1,6,6,1
GP,F,17,U,LE3,T,2,2,services,at_home,reputation,father,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,3,2,1,2,2,14,10,11,11
MS,M,18,U,GT3,T,1,1,at_home,other,reputation,father,2,1,1,no,no,no,no,yes,yes,no,yes,2,4,5,5,5,3,9,14,13,12
GP,M,18,U,GT3,T,2,1,other,services,home,mother,2,1,1,no,no,yes,no,yes,yes,yes,yes,3,1,1,1,1,1,3,12,12,11
GP,F,18,U,LE3,T,2,3,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,2,5,6,5,5,6
GP,M,16,U,GT3,T,2,1,at_home,services,course,mother,1,1,0,no,no,no,yes,no,yes,yes,no,3,3,3,2,3,5,5,9,10,10
GP,F,16,U,GT3,T,2,1,other,at_home,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,3,4,5,7,6,7,7
GP,F,18,U,GT3,T,3,2,health,other,course,father,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,4,4,1,1,4,38,6,5,6
MS,F,17,U,GT3,T,4,3,health,health,course,mother,2,3,0,no,yes,yes,no,no,yes,yes,yes,5,2,5,3,5,4,2,12,14,14
GP,M,16,U,GT3,T,3,4,other,other,home,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,4,3,3,15,14,15
GP,F,18,U,GT3,T,2,2,at_home,other,home,mother,3,2,0,no,yes,yes,no,yes,yes,no,no,3,4,1,1,1,4,8,12,11,11
GP,M,16,U,LE3,T,2,4,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,3,12,15,16
GP,M,19,U,GT3,A,4,3,teacher,services,reputation,other,3,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,4,2,4,5,39,9,9,9
MS,F,17,U,GT3,T,1,2,other,other,reputation,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,4,3,4,1,3,5,15,10,10,9
GP,F,17,R,GT3,T,4,4,teacher,health,reputation,mother,1,1,0,no,yes,no,no,yes,yes,no,no,4,1,3,1,4,5,17,6,5,5
GP,M,17,U,GT3,T,4,4,teacher,other,other,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,3,3,1,2,4,2,13,13,14
GP,F,16,U,LE3,T,4,4,teacher,health,course,mother,1,4,0,no,no,no,yes,yes,yes,no,yes,4,3,4,3,3,5,0,8,9,7
GP,F,17,U,LE3,T,2,2,other,services,reputation,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,2,13,10,11,11
MS,M,18,R,LE3,T,3,2,services,other,reputation,mother,1,2,1,yes,yes,yes,yes,yes,yes,yes,no,5,3,2,3,4,2,1,8,10,11
GP,M,18,R,GT3,T,3,3,other,health,home,father,1,2,2,no,no,no,no,yes,yes,yes,yes,4,4,2,1,1,3,11,16,14,14
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,1,3,5,16,9,10,8
GP,M,19,R,GT3,T,4,4,other,other,reputation,other,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,5,0,15,14,14
MS,M,18,U,GT3,T,4,3,services,other,course,mother,4,2,0,no,no,no,yes,yes,yes,no,no,4,3,2,1,1,4,2,12,12,11
GP,M,17,U,GT3,T,3,4,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,2,5,3,1,1,1,0,17,16,16
GP,F,18,U,GT3,A,0,3,at_home,other,other,mother,2,1,0,yes,yes,yes,no,yes,yes,yes,yes,5,3,4,1,1,5,7,5,4,6
GP,M,17,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,3,3,1,1,3,3,7,11,11,11
MS,M,18,U,GT3,T,4,4,services,teacher,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,4,20,19,19
GP,F,17,U,GT3,T,4,4,teacher,other,home,mother,1,2,1,no,no,no,yes,no,yes,no,yes,1,3,2,1,2,2,1,4,4,-2
GP,M,18,R,GT3,T,2,2,other,other,other,mother,1,3,0,yes,yes,yes,no,yes,yes,no,yes,5,3,2,1,1,3,3,12,12,12
MS,M,17,U,LE3,T,3,3,other,services,reputation,father,1,2,1,yes,no,no,no,no,yes,yes,no,5,4,2,2,3,5,7,14,12,13
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,7,20,20,21
GP,M,16,R,GT3,A,3,2,services,teacher,course,father,2,3,1,no,no,yes,no,yes,yes,yes,no,3,2,4,1,1,3,5,19,19,19
GP,F,18,R,GT3,T,1,1,at_home,other,reputation,mother,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,1,3,18,10,8,8
GP,M,18,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,2,2,2,16,15,15
GP,F,16,R,GT3,T,3,3,services,other,reputation,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,1,2,12,12,13
GP,M,16,U,LE3,T,2,1,other,services,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,2,3,4,1,1,5,1,8,1,1
GP,F,15,U,GT3,T,4,4,services,other,home,mother,2,2,2,no,no,no,yes,no,yes,no,yes,3,4,2,3,4,5,4,5,7,7
GP,M,17,U,GT3,T,2,1,other,other,reputation,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,4,2,2,5,0,15,15,15
GP,M,16,U,GT3,A,2,1,other,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,2,2,3,1,14,16,17
GP,F,16,U,GT3,T,1,2,other,other,reputation,mother,4,2,0,no,no,yes,no,yes,yes,yes,no,4,3,1,2,3,5,9,6,8,8
GP,M,18,U,GT3,T,4,3,health,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,1,4,2,1,2,4,2,17,16,17
GP,F,17,U,GT3,T,2,2,at_home,other,reputation,mother,1,1,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,1,3,18,10,9,8
GP,F,17,U,GT3,T,2,1,services,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,4,1,3,4,0,8,7,7
MS,F,18,U,GT3,A,2,2,at_home,other,reputation,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,2,3,3,18,10,8,8
GP,F,15,R,GT3,T,2,2,other,other,home,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,5,3,3,1,4,3,23,5,8,9
GP,F,16,U,LE3,A,4,4,health,teacher,home,mother,3,1,0,no,yes,yes,no,no,yes,yes,no,3,2,3,1,1,5,6,12,10,9
GP,F,17,R,GT3,T,4,4,teacher,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,no,no,4,3,4,1,3,1,7,7,8,8
MS,M,19,U,LE3,T,3,3,health,other,other,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,3,5,3,5,5,2,7,6,1
GP,F,16,U,GT3,T,2,3,other,teacher,course,mother,1,2,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,4,9,10,10
GP,M,18,R,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,2,1,1,3,1,10,13,12
MS,M,17,U,GT3,T,2,3,other,services,course,father,2,1,1,no,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,10,12,12,11
MS,M,18,R,GT3,A,3,2,health,health,other,mother,2,2,0,yes,no,yes,no,yes,yes,yes,no,4,1,3,3,3,4,19,7,7,8
GP,F,18,R,GT3,A,3,3,other,other,home,mother,1,1,0,yes,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,13,10,9,9
GP,F,15,U,GT3,T,4,2,teacher,other,course,other,1,2,0,no,no,no,yes,yes,yes,yes,no,4,2,3,1,1,5,3,13,14,14
GP,M,19,R,GT3,T,4,4,teacher,other,reputation,other,1,2,0,no,no,yes,yes,yes,no,yes,no,5,4,4,2,4,5,5,9,9,9
GP,F,16,U,GT3,T,3,3,other,other,course,father,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,1,3,1,8,8,8
GP,M,18,R,LE3,T,2,3,other,services,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,3,2,3,5,6,7,6,7
MS,M,17,U,GT3,T,4,4,other,teacher,course,father,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,2,4,1,12,12,13
GP,F,16,U,LE3,T,4,4,teacher,services,reputation,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,3,3,2,1,1,3,5,13,13,13
GP,M,16,R,GT3,A,4,3,teacher,other,other,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,5,4,14,16,16
GP,F,17,R,GT3,A,3,2,other,other,course,mother,1,2,0,yes,yes,yes,yes,no,yes,yes,yes,2,4,3,2,2,4,7,5,6,5
MS,M,18,R,GT3,A,4,3,teacher,other,home,mother,2,2,0,no,yes,yes,yes,yes,no,yes,yes,5,2,2,1,2,5,1,14,13,14
GP,F,16,U,GT3,T,2,2,other,services,course,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,5,2,2,2,1,41,11,11,9
GP,M,17,R,LE3,T,2,2,other,services,course,father,2,1,0,no,yes,yes,no,yes,yes,yes,yes,4,2,4,5,5,5,2,14,14,14
GP,M,15,U,LE3,T,4,3,teacher,teacher,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,2,8,19,20,20
GP,F,17,U,GT3,A,2,2,other,health,reputation,father,2,3,0,no,yes,yes,yes,yes,yes,yes,no,4,4,3,1,4,5,28,8,7,7
GP,M,17,U,GT3,T,4,0,teacher,other,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,2,14,12,11
GP,F,16,U,GT3,T,2,3,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,2,2,1,1,2,0,6,5,4
GP,M,18,U,LE3,T,4,3,teacher,teacher,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,yes,4,2,2,1,2,2,14,12,11,10
GP,M,18,R,GT3,T,3,3,services,health,other,father,3,2,3,no,no,yes,no,yes,yes,yes,no,1,2,1,2,2,4,52,7,7,8
GP,M,17,U,LE3,T,2,2,other,other,reputation,mother,1,1,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,2,5,0,14,16,16
GP,F,15,U,GT3,T,2,2,services,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,5,2,6,8,9
GP,M,19,U,GT3,T,1,1,at_home,other,home,other,1,3,1,no,yes,no,no,no,yes,yes,yes,4,4,2,1,1,3,13,16,13,14
GP,F,18,U,GT3,T,1,1,other,other,home,father,2,2,0,no,no,no,yes,yes,yes,no,no,1,3,2,2,2,5,1,4,3,-2
GP,F,16,U,GT3,T,4,4,health,teacher,course,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,2,9,12,12,12
GP,F,19,U,GT3,T,1,2,at_home,other,reputation,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,2,3,3,16,10,8,8
GP,F,16,U,GT3,T,1,2,other,teacher,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,yes,5,4,2,2,2,4,9,14,13,14
GP,F,18,U,LE3,T,1,1,at_home,other,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,3,2,8,6,8
GP,F,16,U,GT3,A,2,2,services,health,reputation,father,2,2,0,no,no,yes,no,yes,yes,no,yes,3,3,5,1,3,4,6,8,7,8
GP,M,17,U,LE3,T,2,2,other,at_home,home,mother,2,3,0,no,no,no,no,no,yes,yes,yes,4,1,5,1,4,2,2,14,12,12
MS,F,18,U,GT3,T,4,3,health,services,course,mother,1,2,2,no,yes,no,yes,yes,yes,no,no,4,3,4,4,4,5,10,7,7,7
GP,M,15,U,GT3,A,3,1,services,teacher,other,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,2,4,1,1,1,1,7,17,17,18
GP,F,15,R,GT3,T,1,1,at_home,other,other,father,2,2,3,yes,no,yes,yes,no,yes,yes,no,4,1,2,1,1,2,1,5,8,8
GP,F,16,U,LE3,T,2,1,services,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,5,14,9,10,9
GP,M,18,U,LE3,T,4,4,services,health,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,5,0,18,19,19
GP,F,18,U,GT3,T,4,1,health,other,reputation,mother,2,2,1,no,yes,yes,no,yes,yes,no,yes,3,3,4,4,5,2,5,6,6,6
GP,F,19,U,LE3,T,3,2,other,other,course,other,3,4,0,no,yes,yes,yes,yes,no,yes,no,4,4,2,1,2,3,9,6,6,6
GP,F,17,U,GT3,T,4,2,teacher,teacher,reputation,mother,2,2,0,no,yes,yes,yes,no,yes,yes,no,4,1,3,1,1,5,5,4,3,4
MS,F,18,U,LE3,A,2,3,at_home,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,2,3,4,3,16,14,14
GP,M,18,U,GT3,T,4,4,services,services,reputation,mother,1,2,2,no,no,yes,yes,yes,yes,yes,yes,4,3,3,1,2,1,6,16,16,16
GP,F,17,U,LE3,A,2,1,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,4,1,1,2,3,4,9,8,8
GP,M,17,R,GT3,T,4,4,teacher,services,home,father,2,3,0,no,no,no,no,yes,yes,yes,yes,4,4,5,2,5,1,3,12,10,11
GP,F,15,U,LE3,T,4,3,other,services,course,father,2,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,4,8,8,8
GP,M,17,U,LE3,T,3,4,health,health,home,father,1,4,0,no,yes,yes,no,no,yes,yes,no,5,5,3,1,1,5,1,18,18,19
MS,M,20,U,GT3,T,2,1,services,other,reputation,other,1,2,2,no,no,yes,yes,yes,yes,yes,yes,4,2,2,1,1,1,0,16,15,16
GP,M,15,R,GT3,T,3,4,other,other,home,father,4,4,0,no,no,yes,no,yes,yes,yes,no,1,1,2,2,2,1,7,11,14,14
GP,F,16,U,LE3,T,4,4,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,2,3,5,0,13,13,14
GP,F,15,U,LE3,T,3,3,health,other,course,father,2,2,1,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,3,5,11,6,7,6
GP,F,15,U,GT3,T,3,4,services,at_home,reputation,mother,1,1,0,yes,no,no,no,yes,yes,yes,yes,4,4,4,1,1,5,1,12,11,11
MS,F,18,R,LE3,T,4,4,other,other,reputation,father,2,2,0,no,no,yes,no,no,yes,yes,yes,4,1,2,1,1,3,5,11,10,9
GP,M,17,U,GT3,T,1,1,at_home,services,home,mother,2,2,2,no,yes,no,yes,no,yes,no,yes,3,2,2,1,1,3,0,8,9,10
GP,F,16,U,GT3,T,1,3,at_home,other,reputation,mother,1,3,3,yes,yes,yes,no,no,yes,yes,no,4,3,2,1,1,2,5,5,8,8
GP,F,15,U,LE3,T,2,2,other,other,home,father,2,2,0,yes,no,yes,no,yes,yes,no,no,4,5,5,1,3,4,1,6,8,8
MS,F,18,R,GT3,T,3,3,teacher,teacher,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,5,0,9,8,8
GP,F,16,R,GT3,T,2,3,at_home,other,course,mother,2,1,0,no,yes,yes,no,yes,no,yes,no,4,4,3,1,1,5,10,9,8,8
GP,F,18,U,GT3,T,4,4,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,3,2,2,2,5,55,9,9,9
MS,F,18,U,GT3,A,4,3,health,other,course,mother,3,1,1,no,yes,no,yes,yes,yes,yes,yes,5,2,3,2,4,5,20,7,7,6
GP,F,18,U,GT3,A,3,4,other,other,reputation,mother,2,4,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,2,3,5,3,15,15,15
GP,F,15,U,GT3,T,4,4,health,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,1,3,0,12,12,12
GP,M,16,U,LE3,T,3,2,services,at_home,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,3,1,1,4,11,13,14,14
GP,F,16,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,3,5,1,6,7,7
GP,F,18,U,GT3,T,2,2,services,at_home,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,yes,5,3,4,1,1,1,7,9,8,9
GP,F,17,U,LE3,T,2,1,other,other,course,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,5,7,5,4,4
MS,F,18,U,GT3,T,4,2,teacher,other,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,1,4,5,1,1,4,6,14,13,14
GP,M,15,R,LE3,T,4,4,teacher,other,home,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,2,3,5,3,5,3,2,7,8,1
GP,M,19,U,LE3,T,2,2,other,teacher,home,father,3,2,0,no,yes,yes,no,no,yes,yes,no,3,2,2,2,2,5,11,15,13,12
MS,F,17,U,GT3,T,3,2,services,other,home,mother,1,1,0,no,yes,yes,no,yes,no,yes,no,3,4,4,1,4,5,24,5,4,4
GP,M,16,U,LE3,T,4,0,other,other,other,mother,4,2,0,no,yes,yes,yes,yes,no,yes,no,3,3,2,1,1,1,4,11,12,14
GP,M,16,R,GT3,T,0,3,at_home,other,other,other,1,2,3,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,2,11,8,11,11
GP,F,19,U,GT3,T,1,1,other,services,reputation,other,1,1,0,no,yes,no,yes,yes,no,yes,yes,4,2,3,2,2,1,4,6,6,7
GP,F,16,U,GT3,T,1,1,other,services,home,father,1,2,0,no,yes,no,yes,no,no,yes,no,5,3,3,1,3,2,1,6,4,-2
GP,F,17,R,GT3,T,2,1,at_home,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,1,1,4,4,4
GP,F,17,R,LE3,A,4,4,other,other,course,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,3,3,1,1,1,3,0,9,7,9
GP,F,18,U,GT3,A,0,0,at_home,other,course,mother,1,1,2,no,yes,yes,no,no,yes,no,yes,3,4,4,1,1,4,1,5,-2,-2
GP,M,16,U,LE3,T,4,4,health,services,reputation,mother,4,3,3,yes,no,yes,yes,no,yes,no,no,5,4,4,3,4,1,61,16,17,18
GP,M,15,U,GT3,T,3,3,services,services,reputation,father,1,4,1,no,yes,no,yes,yes,yes,yes,no,5,2,3,1,1,5,14,11,14,13
MS,F,18,U,LE3,T,2,2,services,health,course,father,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,2,5,10,8,7,6
MS,F,17,U,LE3,T,3,2,other,other,other,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,1,1,2,5,0,6,8,8
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,no,no,5,3,4,1,1,3,5,6,7,8
GP,M,17,R,GT3,T,3,3,teacher,other,other,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,3,1,3,4,6,8,8,8
GP,F,17,R,GT3,A,4,4,teacher,other,course,mother,2,3,0,no,yes,yes,no,no,yes,no,no,3,3,2,1,1,1,22,9,7,8
GP,F,17,R,GT3,T,1,1,at_home,other,home,other,2,1,3,no,yes,no,yes,yes,no,yes,yes,5,3,3,1,1,2,2,6,6,-2
GP,F,17,U,GT3,T,2,2,other,other,home,mother,1,2,0,yes,yes,no,no,yes,no,yes,no,4,3,2,1,2,2,23,5,4,4
GP,F,16,U,GT3,T,3,1,other,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,2,4,3,1,1,3,4,13,14,13
GP,M,16,U,GT3,T,4,2,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,4,3,12,13,15
GP,M,18,U,LE3,T,2,1,at_home,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,no,5,5,3,1,1,3,7,19,19,20
GP,M,17,U,GT3,T,4,4,teacher,services,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,2,2,5,14,14,13,15
GP,F,17,U,GT3,T,2,1,services,other,course,mother,2,3,0,no,no,no,yes,yes,yes,no,no,4,4,1,1,1,2,1,8,7,-2
GP,F,17,U,GT3,T,2,2,services,at_home,course,father,1,1,1,no,yes,yes,yes,yes,yes,yes,yes,4,3,4,2,3,3,10,12,11,10
GP,M,17,U,LE3,A,4,3,at_home,services,course,mother,3,2,0,no,no,yes,no,yes,yes,yes,no,4,5,4,1,3,5,0,17,16,16
GP,M,19,R,LE3,T,3,1,other,at_home,reputation,other,1,2,0,no,yes,yes,no,yes,no,yes,no,4,4,3,2,4,5,11,8,9,9
GP,F,16,U,GT3,T,2,3,at_home,other,reputation,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,5,5,5,6
GP,F,19,U,GT3,T,4,4,other,other,reputation,other,1,3,0,no,no,no,yes,yes,yes,yes,no,3,4,5,1,3,4,7,8,7,7
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,2,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,5,6,11,10,10
GP,M,19,U,GT3,T,1,1,at_home,other,reputation,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,3,3,15,13,11,11
MS,M,19,R,LE3,T,4,3,health,services,reputation,other,2,1,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,3,3,3,41,9,9,9
MS,F,21,R,GT3,T,1,2,other,other,course,other,1,1,3,no,no,no,no,no,yes,no,no,5,5,3,2,2,3,2,8,6,5
MS,F,21,R,GT3,T,2,1,other,other,course,other,1,2,3,no,no,no,no,no,yes,no,no,5,5,3,2,2,3,1,8,6,5
GP,M,15,U,LE3,T,3,4,services,services,home,mother,2,4,2,no,no,no,no,no,yes,no,no,3,2,2,3,3,3,0,8,10,10
MS,M,18,U,GT3,T,2,2,at_home,other,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,no,no,3,2,2,1,1,4,5,15,14,14
GP,F,18,U,GT3,T,0,2,at_home,services,reputation,father,1,2,0,no,yes,yes,no,yes,no,yes,no,4,3,4,1,1,1,8,5,5,6
GP,M,16,U,GT3,A,3,2,services,other,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,2,5,2,1,1,3,2,12,13,12
GP,F,17,U,LE3,T,2,2,at_home,services,home,mother,2,2,0,no,yes,yes,no,no,yes,yes,yes,4,5,4,1,3,2,8,8,8,8
GP,M,18,U,GT3,T,0,2,other,other,course,mother,2,3,0,no,yes,no,yes,no,yes,yes,no,4,5,5,5,5,5,1,14,13,12
GP,M,15,U,LE3,A,3,2,services,other,home,father,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,3,17,19,20
GP,F,15,U,GT3,T,2,2,other,other,course,father,2,4,0,no,no,yes,no,yes,yes,yes,yes,4,5,3,1,1,5,10,9,11,11
GP,F,15,U,GT3,T,3,3,teacher,services,course,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,2,1,2,5,1,7,9,9
GP,F,17,U,GT3,T,2,1,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,1,1,4,3,10,10,9
GP,F,19,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,3,55,9,10,9
GP,M,16,U,GT3,T,3,4,services,services,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,2,2,2,3,4,13,14,14
GP,F,15,U,GT3,T,4,4,services,teacher,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,17,16,16
GP,M,16,U,GT3,T,3,3,other,other,other,mother,1,2,0,no,yes,no,yes,yes,no,yes,no,4,4,3,3,3,3,7,8,7,8
GP,F,15,U,LE3,T,2,1,services,other,home,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,4,2,3,4,2,5,14,10,10,9
GP,F,15,U,GT3,T,4,3,teacher,health,reputation,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,1,1,5,15,6,7,5
GP,F,16,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,4,5,1,5,1,8,14,14,14
GP,M,16,U,LE3,T,2,1,services,other,other,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,4,3,3,3,3,5,9,12,13,14
GP,F,18,R,GT3,T,2,2,services,health,home,mother,3,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,2,2,2,5,1,11,11,11
MS,M,17,U,GT3,T,4,3,teacher,other,other,mother,2,1,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,1,14,14,14
GP,F,18,R,GT3,T,2,2,other,services,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,no,no,4,5,4,1,2,2,5,13,12,12
GP,F,18,U,LE3,T,4,4,other,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,4,4,1,1,1,3,17,16,17
GP,F,18,R,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,5,3,1,1,4,5,16,16,17
GP,M,15,U,GT3,T,4,2,teacher,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,4,3,14,15,16
GP,M,16,U,GT3,T,4,3,other,other,other,mother,3,3,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,5,5,5,8,15,14,12
MS,M,17,R,GT3,T,4,3,health,other,course,father,1,2,0,yes,yes,yes,yes,no,yes,yes,no,4,4,5,1,4,2,17,11,12,12
GP,M,17,R,GT3,T,4,4,services,other,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,1,5,1,4,3,38,14,12,12
GP,M,16,U,GT3,T,3,1,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,2,3,3,1,1,5,11,17,17,16
GP,M,16,U,LE3,T,4,3,teacher,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,1,2,3,5,0,16,16,17
GP,M,16,U,GT3,T,2,1,other,services,other,father,2,2,0,no,yes,yes,no,yes,yes,yes,yes,5,2,4,1,1,5,1,14,14,14
MS,F,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,2,3,4,3,16,14,14
GP,M,17,U,LE3,A,2,2,at_home,health,reputation,father,1,1,0,no,no,no,yes,yes,yes,no,yes,4,3,5,3,4,1,11,11,11,11
GP,F,16,U,GT3,T,2,2,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,1,1,5,0,13,13,13
